split,label,path
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0043.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0239.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0328.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0110.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0614.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-211408-A-37.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0481.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0461.wav
train,indoor_music,F:\audio_dataset\musan\music\hd-classical\music-hd-0042.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0063.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\1-39835-B-9.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0112.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-112557-A-23.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0089.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\1-39835-A-9.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0162.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0149.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-51805-H-33.wav
train,indoor_music,F:\audio_dataset\musan\music\hd-classical\music-hd-0011.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0275.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0101.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0122.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0212.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-88724-A-38.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-181865-A-38.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-66637-B-20.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0106.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0210.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-94230-A-27.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0588.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0368.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0440.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0147.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-77945-B-41.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0010.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0380.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\5-213836-B-9.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0302.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0081.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-157297-A-21.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-99955-B-7.wav
train,indoor_music,F:\audio_dataset\musan\music\fma-western-art\music-fma-wa-0064.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0053.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0114.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-22694-B-20.wav
train,outdoor_thunder,F:\audio_dataset\ESC-50-master\audio\4-156993-A-19.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-37806-A-40.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0142.wav
train,outdoor_wind,F:\audio_dataset\ESC-50-master\audio\2-104952-A-16.wav
train,indoor_music,F:\audio_dataset\musan\music\fma-western-art\music-fma-wa-0087.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-163727-A-3.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0106.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-204115-A-39.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-53663-A-24.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-157492-A-45.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0075.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0016.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0014.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0085.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-174866-A-29.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-216131-A-32.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0127.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0207.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-107117-A-33.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0618.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-251645-B-49.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0021.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0413.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0092.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-172180-A-32.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-96606-A-49.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-82274-A-5.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-205898-A-40.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-139109-A-46.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-177083-A-22.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-172143-A-13.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-119648-A-48.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-173607-A-39.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-119647-C-48.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-243025-A-25.wav
train,indoor_music,F:\audio_dataset\musan\music\fma-western-art\music-fma-wa-0085.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-59566-A-46.wav
train,indoor_music,F:\audio_dataset\musan\music\fma-western-art\music-fma-wa-0059.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-182023-A-30.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-161103-A-47.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0112.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0121.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0129.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0065.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0265.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0710.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-172649-E-40.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0012.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0830.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-100018-A-18.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-84705-A-39.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0718.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0057.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-79769-A-26.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0038.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0386.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0042.wav
train,outdoor_thunder,F:\audio_dataset\ESC-50-master\audio\4-125072-B-19.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0061.wav
